categoria;presupuesto;gasto_mensual_promedio;diferencia;estado
Alcohol & Bars;50;25,672857142857143;24,327142857142857;OK
Auto Insurance;75;64,28571428571429;10,714285714285708;OK
Coffee Shops;15;5,501904761904761;9,498095238095239;OK
Electronics & Software;0;34,23809523809524;-34,23809523809524;EXCEDIDO
Entertainment;25;0,45809523809523806;24,54190476190476;OK
Fast Food;15;15,744285714285715;-0,7442857142857147;EXCEDIDO
Gas & Fuel;75;81,67476190476191;-6,674761904761908;EXCEDIDO
Groceries;150;133,1052380952381;16,894761904761907;OK
Haircut;30;18,0;12,0;OK
Home Improvement;250;909,1842857142857;-659,1842857142857;EXCEDIDO
Internet;75;74,80380952380952;0,19619047619048047;OK
Mobile Phone;65;80,01904761904763;-15,019047619047626;EXCEDIDO
Mortgage & Rent;1100;1178,7857142857142;-78,78571428571422;EXCEDIDO
Movies & DVDs;0;10,58047619047619;-10,58047619047619;EXCEDIDO
Music;11;10,69;0,3100000000000005;OK
Restaurants;150;124,42952380952381;25,570476190476185;OK
Shopping;100;93,96380952380953;6,03619047619047;OK
Television;15;4,98952380952381;10,01047619047619;OK
Utilities;150;132,1904761904762;17,809523809523796;OK
